saleno,address,price,neighborhood,borough,status,date,num_beds,num_baths,num_sqft,type,url,monthly_cost,amenities_list,transit_list,gps_coordinates,school_district,building_name,built_date,building_num_units,building_url
1232900,893_myrtle_avenue_#1b,525000,bedford_stuyvesant,brooklyn,sold,2016-09-23 00:00:00 -0400,1,1.5,1023,condo,http://streeteasy.com/sale/1232900,504.0,patio,G_at_myrtle_willoughby_avs_0.14_miles G_at_flushing_av_0.31_miles JM_at_flushing_av_0.42_miles G_at_bedford_nostrand_avs_0.47_miles JM_at_lorimer_st_0.59_miles,40.6959 -73.947,14,893_myrtle_avenue,2006,8,http://streeteasy.com/building/893-myrtle-avenue-brooklyn
1242223,200_east_27th_street_#16f,849900,kips_bay,manhattan,current,,1,1,,co_op,http://streeteasy.com/sale/1242223,1668.0,cats_and_dogs_allowed elevator full_time_doorman co_purchase_allowed gifts_allowed parents_buying_allowed sublets_allowed bike_room garage_parking gym laundry_in_building live_in_super parking_available storage_available deck roof_deck terrace,6_at_28th_st_0.25_miles 6_at_23rd_st_0.3_miles 6_at_33rd_st_0.39_miles NR_at_23rd_st_0.43_miles NR_at_28th_st_0.49_miles,40.7409 -73.9809,2,the_victoria_house_200_east_27th_street,1965,280,http://streeteasy.com/building/the-victoria-house
1243016,165_east_72nd_street_#16j,2250000,upper_east_side,manhattan,in_contract,,2,2,,co_op,http://streeteasy.com/sale/1243016,2371.0,cats_and_dogs_allowed elevator full_time_doorman pied_a_terre_allowed bike_room concierge garage_parking gym laundry_in_building live_in_super storage_available garden terrace,6_at_77th_st_0.23_miles 6_at_68th_st_0.24_miles F_at_lexington_av_0.49_miles NQR456_at_lexington_av_59_st_0.63_miles 456_at_86th_st_0.69_miles,40.7702 -73.9607,,165_east_72nd_street,1960,183,http://streeteasy.com/building/165-east-72-street-new_york
1241501,31_38_137th_street_#7a,628000,flushing,queens,current,,2,2,967,resale,http://streeteasy.com/sale/1241501,410.0,elevator washer_dryer_in_unit dishwasher balcony,7_at_main_st_0.63_miles LIRR_at_flushing_0.73_miles LIRR_at_murray_hill_0.97_miles 7_at_willets_point_1.24_miles LIRR_at_mets_willets_point_1.29_miles,40.7685 -73.8313,25,31_38_137th_street,2007,16,http://streeteasy.com/building/31_38-137-street-flushing
1244213,404_east_76th_street_#18b,1125000,upper_east_side,manhattan,in_contract,,2,1,,resale,http://streeteasy.com/sale/1244213,2116.0,elevator full_time_doorman pets_allowed bike_room children's_playroom concierge garage_parking gym live_in_super parking_available community_recreation_facilities storage_available central_air_conditioning garden,6_at_77th_st_0.41_miles 6_at_68th_st_0.57_miles 456_at_86th_st_0.66_miles F_at_lexington_av_0.77_miles NQR456_at_lexington_av_59_st_0.85_miles,40.7699 -73.9536,2,the_impala_404_east_76th_street,1999,180,http://streeteasy.com/building/the-impala
1249859,75_wall_street_#phd3,9850000,financial_district,manhattan,current,,4,3,3433,condo,http://streeteasy.com/sale/1249859,4838.0,cats_and_dogs_allowed elevator full_time_doorman bike_room concierge garage_parking gym laundry_in_building live_in_super media_room parking_available fireplace waterview roof_deck terrace,Ferry_at_pier_11_ferry_landing_0.12_miles 23_at_wall_st_0.13_miles JZ_at_broad_st_0.17_miles 45_at_wall_st_0.25_miles 45_at_bowling_green_0.28_miles,40.705 -74.0081,2,75_wall_street,1987,346,http://streeteasy.com/building/75-wall-street-new_york
1233998,88_37_249th_street,699000,bellerose,queens,current,,3,3,,resale,http://streeteasy.com/sale/1233998,0,garden,LIRR_at_belmont_1.07_miles LIRR_at_queens_village_1.29_miles,40.7276 -73.716,,88_37_249th_street,1920,2,http://streeteasy.com/other_property/88_37-249-street-queens
1233225,38_12_31st_street,2189000,long_island_city,queens,current,,4,,2250,resale,http://streeteasy.com/sale/1233225,402.0,pets_allowed patio,NQ_at_39_av_beebe_av_under_500_feet MR_at_36th_st_0.21_miles NQ_at_36_av_washington_av_0.25_miles EMR_at_queens_plaza_0.42_miles NQ7_at_queensboro_plaza_0.42_miles,40.7535 -73.9325,30,38_12_31st_street,1920,,http://streeteasy.com/building/38_12-31-street-queens
1243446,163_09_72nd_avenue,1159800,pomonok,queens,current,,3,1.5,,house,http://streeteasy.com/sale/1243446,392.0,garage_parking parking_available,F_at_169th_st_1.41_miles F_at_parsons_blvd_1.46_miles EF_at_van_wyck_blvd_1.49_miles F_at_sutphin_blvd_1.6_miles F_at_179th_st_1.61_miles,40.7285 -73.8058,25,163_09_72nd_avenue,1945,,http://streeteasy.com/building/163_09-72-avenue-queens
1235950,236_95th_street,1150000,fort_hamilton,brooklyn,current,,4,3,2974,multi_family,http://streeteasy.com/sale/1235950,646.0,dishwasher garden,R_at_95th_st_0.25_miles R_at_86th_st_0.51_miles R_at_77th_st_0.97_miles R_at_bay_ridge_av_1.34_miles N_at_8th_av_1.75_miles,40.6175 -74.0352,20,236_95th_street,1915,2,http://streeteasy.com/building/236-95-street-brooklyn
1243555,5_09_48th_avenue_#8f,2295000,hunters_point,queens,current,,3,2,1587,condo,http://streeteasy.com/sale/1243555,1667.0,doorman elevator pets_allowed washer_dryer_in_unit bike_room children's_playroom cold_storage concierge garage_parking gym live_in_super parking_available storage_available dishwasher loft deck roof_deck,7_at_vernon_blvd_jackson_av_0.14_miles LIRR_at_long_island_city_0.24_miles G_at_21st_st_0.31_miles Ferry_at_hunters_point_ferry_landing_0.33_miles 7_at_hunters_point_0.37_miles,40.7446 -73.9551,30,5th_street_lofts_(5sl)_5_09_48th_avenue,2008,121,http://streeteasy.com/building/5th-street-lofts-5sl
1233883,870_riverside_drive_#3c,749000,washington_heights,manhattan,current,,3,2,,restricted_sale,http://streeteasy.com/sale/1233883,1032.0,cats_and_dogs_allowed elevator live_in_super storage_available,1_at_157th_st_0.23_miles C_at_163rd_st_0.35_miles AC1_at_168th_st_0.46_miles C_at_155th_st_0.5_miles B_at_155th_st_0.69_miles,40.8369 -73.9465,6,870_riverside_drive,1915,36,http://streeteasy.com/building/870-riverside-drive-new_york
1235349,390_e_32nd_street,1299000,flatbush,brooklyn,current,,7,3,,townhouse,http://streeteasy.com/sale/1235349,392.0,garage_parking parking_available storage_available hot_tub terrace,25_at_newkirk_av_0.11_miles 25_at_beverly_rd_0.28_miles 25_at_flatbush_av_0.65_miles 25_at_church_av_0.66_miles BQ_at_cortelyou_rd_0.9_miles,40.6412 -73.9469,22,390_east_32nd_street,1925,2,http://streeteasy.com/building/390-east-32-street-brooklyn
1241853,1355_first_avenue_#1901,7995000,upper_east_side,manhattan,current,,4,4,3451,condo,http://streeteasy.com/sale/1241853,5041.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit children's_playroom concierge gym laundry_in_building storage_available central_air_conditioning storage_available roof_deck,6_at_77th_st_0.41_miles 6_at_68th_st_0.42_miles F_at_lexington_av_0.61_miles NQR456_at_lexington_av_59_st_0.69_miles 456_at_86th_st_0.76_miles,40.7683 -73.956,2,the_charles_1355_first_avenue,2014,31,http://streeteasy.com/building/the-charles
1245479,66_west_11th_street_#1,2295000,greenwich_village,manhattan,current,,1,1,,co_op,http://streeteasy.com/sale/1245479,1542.0,cats_and_dogs_allowed washer_dryer_in_unit pied_a_terre_allowed storage_available dishwasher fireplace storage_available balcony,PATH_at_9th_street_station_under_500_feet FML123_at_6th_av_0.17_miles ACEBDFM_at_west_4th_st_0.17_miles FML123_at_14th_st_0.17_miles PATH_at_14th_street_station_0.18_miles,40.7349 -73.9976,,66_west_11th_street,,,http://streeteasy.com/building/66-west-11-street-new_york
1239732,1281_e._223_rd_street_#1,429000,edenwald,bronx,current,,3,1.5,1300,resale,http://streeteasy.com/sale/1239732,0,,5_at_baychester_av_0.37_miles 5_at_gun_hill_rd_0.75_miles 5_at_dyre_av_0.86_miles 25_at_219th_st_0.96_miles 25_at_225th_st_0.96_miles,40.8808 -73.8447,11,1281_east_223rd_street,1955,2,http://streeteasy.com/building/1281-east-223-street-bronx
1242797,1399_park_avenue_#8a,1080000,east_harlem,manhattan,current,,2,2,884,condo,http://streeteasy.com/sale/1242797,1566.0,elevator full_time_doorman pets_allowed washer_dryer_in_unit bike_room children's_playroom cold_storage garage_parking gym parking_available,6_at_103rd_st_under_500_feet 6_at_110th_st_0.33_miles 6_at_96th_st_0.41_miles 23_at_110th_st_0.54_miles 6_at_116th_st_0.61_miles,40.7913 -73.9487,4,1399_park_avenue,2016,72,http://streeteasy.com/building/1399-park-avenue-new_york
1248198,201_west_70th_street_#23e,2200000,lincoln_square,manhattan,current,,2,2.5,,co_op,http://streeteasy.com/sale/1248198,2375.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit co_purchase_allowed pied_a_terre_allowed bike_room concierge garage_parking gym laundry_in_building live_in_super parking_available dishwasher balcony deck roof_deck,123_at_72nd_st_under_500_feet 1_at_66th_st_0.3_miles BC_at_72nd_st_0.36_miles 1_at_79th_st_0.43_miles BC_at_81st_st_0.53_miles,40.7778 -73.9828,,one_sherman_square_201_west_70th_street,1971,387,http://streeteasy.com/building/one-sherman-square
1237282,10_west_street_#35g,4280000,battery_park_city,manhattan,current,,2,2.5,2192,condo,http://streeteasy.com/sale/1237282,7104.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit bike_room concierge garage_parking gym live_in_super parking_available dishwasher waterfront waterview,45_at_bowling_green_0.22_miles 1_at_rector_st_0.28_miles R_at_rector_st_0.28_miles 45_at_wall_st_0.31_miles JZ_at_broad_st_0.34_miles,40.7056 -74.0175,2,the_ritz_carlton_new_york_battery_10_little_west_street,2003,115,http://streeteasy.com/building/the-ritz-carlton-new-york-battery
1249838,640_west_237th_street_#19c,1795000,riverdale,bronx,current,,3,3.5,2010,condo,http://streeteasy.com/sale/1249838,1330.0,doorman elevator pets_allowed washer_dryer_in_unit children's_playroom cold_storage concierge garage_parking gym live_in_super parking_available valet_parking dishwasher roof_deck terrace,1_at_238th_st_0.64_miles 1_at_231st_st_0.73_miles 1_at_242nd_st_0.78_miles 1_at_225th_st_0.92_miles 4_at_bedford_park_blvd_1.54_miles,40.8875 -73.9126,10,solaria_riverdale_640_west_237th_street,2008,65,http://streeteasy.com/building/solaria-riverdale
1238585,675_academy_street_#6h,220000,inwood,manhattan,current,,studio,1,550,co_op,http://streeteasy.com/sale/1238585,512.0,cats_and_dogs_allowed pied_a_terre_allowed sublets_allowed bike_room garage_parking laundry_in_building live_in_super parking_available storage_available storage_available,A_at_dyckman_st_200th_st_0.17_miles A_at_207th_st_0.2_miles 1_at_207th_st_0.37_miles 1_at_dyckman_st_0.4_miles 1_at_215th_st_0.54_miles,40.867 -73.9251,6,675_academy_street,1952,61,http://streeteasy.com/building/675-academy-street-new_york
1242294,4_west_16th_street_#6b,1700000,flatiron,manhattan,current,,3,1,1400,resale,http://streeteasy.com/sale/1242294,2337.0,elevator pets_allowed bike_room laundry_in_building dishwasher loft storage_available,FML123_at_6th_av_0.17_miles PATH_at_14th_street_station_0.18_miles LNQR456_at_14th_st_union_square_0.19_miles FML123_at_14th_st_0.2_miles 1_at_18th_st_0.33_miles,40.7374 -73.9934,2,4_west_16th_street,1902,16,http://streeteasy.com/building/4-west-16-street-new_york
1231721,21_east_22nd_street_#10a,1950000,flatiron,manhattan,no_longer_available,2016-11-03 12:30:20 -0400,2,1,,co_op,http://streeteasy.com/sale/1231721,1945.0,cats_and_dogs_allowed elevator full_time_doorman guarantors_allowed pied_a_terre_allowed sublets_allowed bike_room laundry_in_building live_in_super storage_available dishwasher loft storage_available deck roof_deck,NR_at_23rd_st_under_500_feet 6_at_23rd_st_under_500_feet FM_at_23rd_st_0.26_miles PATH_at_23rd_street_station_0.28_miles 6_at_28th_st_0.31_miles,40.7404 -73.9885,2,21_east_22nd_street,1911,128,http://streeteasy.com/building/21-east-22-street-new_york
1239829,ocean_parkway_#2e,220000,kensington,brooklyn,in_contract,,studio,1,,co_op,http://streeteasy.com/sale/1239829,330.0,elevator pets_allowed washer_dryer_in_unit bike_room laundry_in_building live_in_super storage_available,FG_at_church_av_0.35_miles FG_at_fort_hamilton_parkway_0.36_miles BQ_at_beverly_rd_0.48_miles BQ_at_cortelyou_rd_0.57_miles BQ_at_church_av_0.62_miles,40.6449 -73.9737,15,207_ocean_parkway,1963,63,http://streeteasy.com/building/207-ocean-parkway-brooklyn
1249101,160_15_powells_cove_boulevard_#c104,125000,beechhurst,queens,current,,studio,1,450,co_op,http://streeteasy.com/sale/1249101,445.0,doorman elevator,,40.7946 -73.8008,25,160_15_powells_cove_boulevard,1928,92,http://streeteasy.com/building/160_15-powells-cove-blvd-queens
1241978,65_29_77_place,629000,middle_village,queens,current,,3,2,,resale,http://streeteasy.com/sale/1241978,0,,M_at_metropolitan_av_0.77_miles MR_at_63rd_drive_1.21_miles MR_at_woodhaven_blvd_1.23_miles M_at_fresh_pond_rd_1.25_miles MR_at_grand_av_1.34_miles,40.7165 -73.8761,24,65_29_77_place,1935,,http://streeteasy.com/building/65_29-77-place-queens
1232644,70_25_yellowstone_boulevard_#25c,725000,forest_hills,queens,sold,2016-08-10 00:00:00 -0400,3,2,,resale,http://streeteasy.com/sale/1232644,1729.0,doorman elevator gym live_in_super swimming_pool valet_parking central_air_conditioning garden terrace,EFMR_at_71st_av_0.27_miles LIRR_at_forest_hills_0.28_miles MR_at_67th_av_0.39_miles EF_at_75th_av_0.62_miles MR_at_63rd_drive_0.85_miles,40.722 -73.8491,,gerard_towers_70_25_yellowstone_boulevard,1965,563,http://streeteasy.com/building/gerard-towers
1239162,671_park_avenue,1235000,bedford_stuyvesant,brooklyn,sold,2016-09-29 12:04:00 -0400,7,3+,3000,resale,http://streeteasy.com/sale/1239162,0,washer_dryer_in_unit parking_available courtyard garden,G_at_flushing_av_0.14_miles G_at_myrtle_willoughby_avs_0.18_miles JM_at_flushing_av_0.41_miles JM_at_lorimer_st_0.44_miles G_at_broadway_0.51_miles,40.6979 -73.9489,14,671_park_avenue,1992,2,http://streeteasy.com/building/671-park-avenue-brooklyn
1236516,743_hancock_street_townhouse,1850000,stuyvesant_heights,brooklyn,current,,7,3,,multi_family,http://streeteasy.com/sale/1236516,0,garage_parking parking_available garden roof_deck,JZ_at_gates_av_0.33_miles J_at_halsey_st_0.5_miles AC_at_utica_av_0.51_miles C_at_ralph_av_0.52_miles J_at_kosciusko_st_0.53_miles,40.6856 -73.9254,16,743_hancock_street,1899,2,http://streeteasy.com/building/743-hancock-street-brooklyn
1232728,350_w_42nd_#11i,788000,hell's_kitchen,manhattan,sold,2016-10-20 00:00:00 -0400,studio,1,520,resale,http://streeteasy.com/sale/1232728,1050.0,cats_and_dogs_allowed elevator full_time_doorman bike_room cold_storage concierge gym laundry_in_building package_room parking_available swimming_pool community_recreation_facilities smoke_free dishwasher furnished storage_available deck roof_deck,ACE_at_42nd_st_port_authority_bus_terminal_0.15_miles NQRS1237_at_times_square_0.3_miles NQRS1237_at_times_square_42nd_st_0.39_miles CE_at_50th_st_0.41_miles ACE_at_34th_st_0.41_miles,40.7579 -73.9923,2,orion_condominium_350_west_42nd_street,2007,551,http://streeteasy.com/building/orion-condominium
1231458,804_west_180th_street_#2,350000,hudson_heights,manhattan,no_longer_available,2016-10-11 08:01:12 -0400,1,1,,co_op,http://streeteasy.com/sale/1231458,645.0,cats_and_dogs_allowed elevator bike_room live_in_super storage_available dishwasher storage_available,A_at_181st_st_under_500_feet A_at_175th_st_0.25_miles 1_at_181st_st_0.3_miles AC1_at_168th_st_0.64_miles 1_at_191st_st_0.64_miles,40.8499 -73.9394,6,804_west_180th_street,1910,44,http://streeteasy.com/building/804-west-180-street-manhattan
