saleno,address,price,neighborhood,borough,status,date,num_beds,num_baths,num_sqft,type,url,monthly_cost,amenities_list,transit_list,gps_coordinates,school_district,building_name,built_date,building_num_units,building_url
1238047,76_madison_avenue_#4c,1500000,nomad,manhattan,in_contract,,1,1,827,condo,http://streeteasy.com/sale/1238047,2058.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit concierge live_in_super storage_available fireplace loft storage_available deck roof_deck,6_at_28th_st_under_500_feet NR_at_28th_st_0.15_miles 6_at_23rd_st_0.25_miles NR_at_23rd_st_0.25_miles 6_at_33rd_st_0.27_miles,40.744 -73.9861,2,76_madison_76_madison_avenue,1911,31,http://streeteasy.com/building/76-madison
1249268,145_east_18th_street_#5f,399000,prospect_park_south,brooklyn,current,,1,1,750,co_op,http://streeteasy.com/sale/1249268,650.0,,BQ_at_church_av_0.11_miles BQ_at_beverly_rd_0.27_miles BQ_at_parkside_av_0.44_miles BQ_at_cortelyou_rd_0.46_miles FG_at_fort_hamilton_parkway_0.71_miles,40.6479 -73.9625,22,145_east_18th_street,1962,63,http://streeteasy.com/building/145-east-18-street-brooklyn
1243471,211_west_71st_street_#5c,1149000,lincoln_square,manhattan,in_contract,,1,1,785,condo,http://streeteasy.com/sale/1243471,1936.0,cats_and_dogs_allowed elevator full_time_doorman concierge laundry_in_building live_in_super storage_available,123_at_72nd_st_under_500_feet 1_at_66th_st_0.33_miles BC_at_72nd_st_0.37_miles 1_at_79th_st_0.39_miles BC_at_81st_st_0.51_miles,40.7783 -73.9826,3,211_west_71st_street,1986,58,http://streeteasy.com/building/211-west-71-street-new_york
1231836,400_east_90th_street_#17f,885000,yorkville,manhattan,no_longer_available,2016-08-18 16:11:42 -0400,1,1,719,other_type,http://streeteasy.com/sale/1231836,1552.0,cats_and_dogs_allowed elevator full_time_doorman bike_room children's_playroom concierge garage_parking gym live_in_super parking_available storage_available dishwasher storage_available deck roof_deck terrace,456_at_86th_st_0.42_miles 6_at_96th_st_0.49_miles 6_at_77th_st_0.76_miles 6_at_103rd_st_0.77_miles 6_at_110th_st_1.09_miles,40.7791 -73.9473,2,century_tower_400_east_90th_street,1999,128,http://streeteasy.com/building/century-tower
1237388,387_grand_street_#k1305,1000000,lower_east_side,manhattan,no_longer_available,2016-10-20 16:02:05 -0400,2,1,,co_op,http://streeteasy.com/sale/1237388,749.0,cats_and_dogs_allowed elevator full_time_doorman co_purchase_allowed gifts_allowed guarantors_allowed parents_buying_allowed pied_a_terre_allowed sublets_allowed bike_room garage_parking gym live_in_super parking_available storage_available storage_available,FJMZ_at_delancey_st_essex_st_0.21_miles F_at_east_broadway_0.21_miles BD_at_grand_st_0.34_miles JZ_at_bowery_0.43_miles F_at_2nd_av_0.54_miles,40.7154 -73.9881,,383_grand_street_new_york_ny_10002,1960,1,http://streeteasy.com/building/383-grand-street-new_york
1246304,202_seeley_street_#4d,575000,windsor_terrace,brooklyn,current,,1,1,,co_op,http://streeteasy.com/sale/1246304,557.0,bike_room garage_parking live_in_super patio,FG_at_fort_hamilton_parkway_0.34_miles FG_at_prospect_park_15_st_0.41_miles BQ_at_parkside_av_0.68_miles BQ_at_church_av_0.71_miles FG_at_7th_av_0.78_miles,40.6548 -73.9749,15,202_seeley_street,1931,42,http://streeteasy.com/building/202-seeley-street-brooklyn
1233451,118_west_72nd_street_#902,399000,lincoln_square,manhattan,sold,2016-10-17 00:00:00 -0400,studio,1,,co_op,http://streeteasy.com/sale/1233451,994.0,cats_only_no_dogs elevator co_purchase_allowed guarantors_allowed parents_buying_allowed pied_a_terre_allowed sublets_allowed gym laundry_in_building live_in_super dishwasher storage_available,123_at_72nd_st_0.13_miles BC_at_72nd_st_0.22_miles 1_at_66th_st_0.3_miles BC_at_81st_st_0.4_miles 1_at_79th_st_0.43_miles,40.7774 -73.9797,3,118_west_72nd_street,1915,42,http://streeteasy.com/building/118-west-72-street-new_york
1239762,578_carlton_avenue,3400000,prospect_heights,brooklyn,sold,2016-08-30 00:00:00 -0400,,,3300,townhouse,http://streeteasy.com/sale/1239762,1583.0,balcony,BQ_at_7th_av_0.16_miles 23_at_bergen_st_0.17_miles 23_at_grand_army_plaza_0.32_miles C_at_clinton_&_washington_avs_0.39_miles C_at_lafayette_av_0.43_miles,40.6796 -73.9718,13,578_carlton_avenue,1905,,http://streeteasy.com/building/578-carlton-avenue-brooklyn
1239699,657_warren_street_#1b,1250000,park_slope,brooklyn,delisted,2016-10-07 10:50:34 -0400,2,1.5,1251,condo,http://streeteasy.com/sale/1239699,867.0,washer_dryer_in_unit laundry_in_building parking_available central_air_conditioning dishwasher storage_available garden patio,23_at_bergen_st_0.19_miles BDNRQ2345_at_pacific_st_0.22_miles LIRR_at_flatbush_avenue_0.3_miles BDNRQ2345_at_atlantic_av_0.32_miles R_at_union_st_0.36_miles,40.6806 -73.9783,,657_warren_street,,,http://streeteasy.com/building/657-warren-street-brooklyn
1247988,58_vermont_street_#3,1100000,east_new_york,brooklyn,current,,5,3,,resale,http://streeteasy.com/sale/1247988,0,live_in_super,JZ_at_van_siclen_av_0.23_miles J_at_alabama_av_0.24_miles C_at_liberty_av_0.31_miles LIRR_at_east_new_york_0.41_miles L_at_atlantic_av_0.42_miles,40.6786 -73.8959,19,58_vermont_street,2006,2,http://streeteasy.com/building/58-vermont-street-brooklyn
