saleno,address,price,neighborhood,borough,status,date,num_beds,num_baths,num_sqft,type,url,monthly_cost,amenities_list,transit_list,gps_coordinates,school_district,building_name,built_date,building_num_units,building_url
1200014,340_east_23rd_street_#11h,1275000,gramercy_park,manhattan,no_longer_available,2016-01-10 17:24:09 -0500,1,1,718,condo,http://streeteasy.com/sale/1200014,1218.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit bike_room concierge gym laundry_in_building live_in_super community_recreation_facilities balcony deck roof_deck terrace,L_at_1st_av_0.44_miles 6_at_23rd_st_0.44_miles L_at_3rd_av_0.47_miles 6_at_28th_st_0.52_miles NR_at_23rd_st_0.59_miles,40.7369 -73.9794,,gramercy_starck_340_east_23rd_street,2008,,http://streeteasy.com/building/gramercy-starck
1242141,1187_dean_street,1850000,crown_heights,brooklyn,current,,6,6,3959,multi_family,http://streeteasy.com/sale/1242141,0,,LIRR_at_nostrand_avenue_0.14_miles AC_at_nostrand_av_0.22_miles CS_at_franklin_av_0.4_miles S_at_park_place_0.44_miles C_at_kingston_throop_0.5_miles,40.6771 -73.9503,17,1187_dean_street,1905,7,http://streeteasy.com/building/1187-dean-street-brooklyn
1235207,677_west_end_avenue_#15c15d,1750000,upper_west_side,manhattan,current,,3,2,1590,co_op,http://streeteasy.com/sale/1235207,3519.0,cats_and_dogs_allowed elevator pied_a_terre_allowed sublets_allowed bike_room laundry_in_building live_in_super storage_available,123_at_96th_st_0.12_miles 1_at_86th_st_0.37_miles 1_at_103rd_st_0.54_miles BC_at_96th_st_0.54_miles BC_at_86th_st_0.63_miles,40.7933 -73.9751,3,677_west_end_avenue,1927,63,http://streeteasy.com/building/677-west-end-avenue-new_york
1248179,150_11_85_dr,1300000,briarwood,queens,current,,5,3.5,2600,multi_family,http://streeteasy.com/sale/1248179,509.0,laundry_in_building,F_at_parsons_blvd_0.29_miles F_at_sutphin_blvd_0.29_miles EF_at_van_wyck_blvd_0.63_miles EJZ_at_sutphin_blvd_archer_av_0.64_miles EJZ_at_parsons_blvd_archer_av_0.64_miles,40.7096 -73.8076,28,150_11_85_drive,1930,,http://streeteasy.com/building/150_11-85-drive-queens
1238677,569_evergreen_avenue,1448800,bushwick,brooklyn,current,,8,5,,resale,http://streeteasy.com/sale/1238677,451.0,patio,J_at_halsey_st_0.27_miles JZ_at_chauncey_st_0.44_miles L_at_wilson_av_0.47_miles JZ_at_gates_av_0.5_miles L_at_bushwick_av_0.66_miles,40.6894 -73.9137,32,569_evergreen_avenue,2007,3,http://streeteasy.com/building/569-evergreen-avenue-brooklyn
1237926,135_east_54th_street_#15e,1435000,midtown,manhattan,current,,2,1,1019,condo,http://streeteasy.com/sale/1237926,2466.0,elevator full_time_doorman pets_allowed bike_room laundry_in_building live_in_super terrace,EM6_at_lexington_av_53_st_under_500_feet EM6_at_51st_st_0.17_miles EM_at_5th_av_0.29_miles NQR456_at_lexington_av_59_st_0.3_miles NQR_at_5th_av_0.42_miles,40.7593 -73.9707,2,lex_54_135_east_54th_street,1951,145,http://streeteasy.com/building/lex-54
1245076,26_47_98th_street,799000,east_elmhurst,queens,current,,4,2,,resale,http://streeteasy.com/sale/1245076,5002.0,washer_dryer_in_unit garage_parking,7_at_junction_blvd_0.83_miles 7_at_103rd_st_0.89_miles 7_at_90th_st_elmhurst_0.92_miles 7_at_111th_st_1.01_miles 7_at_82nd_st_jackson_heights_1.14_miles,40.761 -73.8709,30,26_47_98th_street,1960,2,http://streeteasy.com/building/26_47-98-street-queens
1246857,34_11_93rd_street_#1g,328000,north_corona,queens,current,,2,1,,co_op,http://streeteasy.com/sale/1246857,765.0,pets_allowed washer_dryer_in_unit garage_parking gym laundry_in_building parking_available storage_available dishwasher storage_available,7_at_90th_st_elmhurst_0.44_miles 7_at_junction_blvd_0.46_miles 7_at_82nd_st_jackson_heights_0.68_miles 7_at_103rd_st_0.7_miles MR_at_elmhurst_av_0.91_miles,40.7544 -73.8743,30,34_10_94th_street,1955,96,http://streeteasy.com/building/34_10-94-street-queens
1243144,75_w_238th_street_#6k,239000,kingsbridge_heights,bronx,current,,2,1,900,co_op,http://streeteasy.com/sale/1243144,700.0,live_in_super,1_at_238th_st_0.28_miles 1_at_231st_st_0.49_miles 1_at_242nd_st_0.51_miles 4_at_mosholu_parkway_0.65_miles 4_at_bedford_park_blvd_0.71_miles,40.8824 -73.8967,10,75_west_238th_street,1960,72,http://streeteasy.com/building/75-west-238-street-bronx
1231411,400_east_90th_street_#17f,885000,yorkville,manhattan,no_longer_available,2016-08-18 16:11:42 -0400,1,1,719,other_type,http://streeteasy.com/sale/1231411,1552.0,cats_and_dogs_allowed elevator full_time_doorman bike_room children's_playroom concierge garage_parking gym live_in_super parking_available storage_available dishwasher storage_available deck roof_deck terrace,456_at_86th_st_0.42_miles 6_at_96th_st_0.49_miles 6_at_77th_st_0.76_miles 6_at_103rd_st_0.77_miles 6_at_110th_st_1.09_miles,40.7791 -73.9473,2,century_tower_400_east_90th_street,1999,128,http://streeteasy.com/building/century-tower
