saleno,address,price,neighborhood,borough,status,date,num_beds,num_baths,num_sqft,type,url,monthly_cost,amenities_list,transit_list,gps_coordinates,school_district,building_name,built_date,building_num_units,building_url
1242941,90_gold_street_#20a,475000,fulton_seaport,manhattan,in_contract,,studio,1,,co_op,http://streeteasy.com/sale/1242941,445.0,elevator full_time_doorman pets_allowed garage_parking parking_available storage_available balcony,JZ456_at_chambers_st_0.24_miles ACJZ2345_at_fulton_st_broadway_nassau_0.24_miles JZ456_at_brooklyn_bridge_0.25_miles R_at_city_hall_0.32_miles ACE23_at_park_place_0.32_miles,40.7093 -74.0036,,90_gold_street_new_york_ny_10038,1971,1,http://streeteasy.com/building/90-gold-street-new_york
1230745,15_little_neck_rd,949888,douglaston,queens,no_longer_available,2016-11-02 18:06:33 -0400,3,2.5,,house,http://streeteasy.com/sale/1230745,0,garage_parking parking_available waterfront,LIRR_at_douglaston_0.32_miles LIRR_at_little_neck_0.36_miles LIRR_at_bayside_1.44_miles,40.7722 -73.7464,26,240_15_38_drive,1930,,http://streeteasy.com/building/240_15-38-drive-queens
1231816,50_clinton_street_#3a,1875000,lower_east_side,manhattan,in_contract,,2,2,959,condo,http://streeteasy.com/sale/1231816,1912.0,doorman elevator bike_room concierge gym storage_available roof_deck terrace,FJMZ_at_delancey_st_essex_st_0.16_miles F_at_2nd_av_0.33_miles JZ_at_bowery_0.47_miles BD_at_grand_st_0.48_miles F_at_east_broadway_0.56_miles,40.7197 -73.9846,,50_clinton_50_clinton_street,2016,37,http://streeteasy.com/building/50-clinton
1248546,378_halsey_street,2900000,stuyvesant_heights,brooklyn,current,,5,4,3200,building,http://streeteasy.com/sale/1248546,284.0,laundry_in_building central_air_conditioning,C_at_kingston_throop_0.21_miles AC_at_utica_av_0.54_miles LIRR_at_nostrand_avenue_0.57_miles AC_at_nostrand_av_0.58_miles G_at_bedford_nostrand_avs_0.82_miles,40.6828 -73.9389,13,378_halsey_street,1910,3,http://streeteasy.com/building/378-halsey-street-brooklyn
1249225,196_08_42nd_rd,1575000,east_flushing,queens,current,,6,4,4300,house,http://streeteasy.com/sale/1249225,797.0,,LIRR_at_auburndale_0.3_miles LIRR_at_bayside_0.8_miles LIRR_at_broadway_0.88_miles,40.7588 -73.7854,26,196_08_42_road,2002,2,http://streeteasy.com/building/196_08-42-road-queens
1247118,454_west_54th_street_#5n,890000,hell's_kitchen,manhattan,current,,studio,1,636,condo,http://streeteasy.com/sale/1247118,610.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit cold_storage gym live_in_super swimming_pool storage_available central_air_conditioning dishwasher storage_available courtyard garden roof_deck,ACBD1_at_59th_st_columbus_circle_0.36_miles CE_at_50th_st_0.37_miles 1_at_50th_st_0.47_miles NQR_at_57th_st_0.5_miles BDE_at_7th_av_0.5_miles,40.7668 -73.9897,,griffin_court_454_west_54th_street,2008,95,http://streeteasy.com/building/griffin-court
1237508,20_east_9th_street_#6m,1595000,greenwich_village,manhattan,in_contract,,1,1,,co_op,http://streeteasy.com/sale/1237508,1900.0,doorman elevator pets_allowed children's_playroom garage_parking gym laundry_in_building storage_available garden roof_deck,NR_at_8th_st_0.16_miles PATH_at_9th_street_station_0.25_miles ACEBDFM_at_west_4th_st_0.26_miles 6_at_astor_place_0.26_miles LNQR456_at_14th_st_union_square_0.3_miles,40.7321 -73.995,2,the_brevoort_east_20_east_9th_street,1964,323,http://streeteasy.com/building/the-brevoort-east
1244229,315_east_72nd_street_#15hj,3750000,upper_east_side,manhattan,in_contract,,5,3.5,,co_op,http://streeteasy.com/sale/1244229,5098.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit co_purchase_allowed guarantors_allowed parents_buying_allowed pied_a_terre_allowed bike_room cold_storage laundry_in_building live_in_super parking_available,6_at_77th_st_0.35_miles 6_at_68th_st_0.36_miles F_at_lexington_av_0.57_miles NQR456_at_lexington_av_59_st_0.66_miles 456_at_86th_st_0.73_miles,40.7688 -73.9572,2,315_east_72nd_street,1958,219,http://streeteasy.com/building/315-east-72-street-new_york
1231266,30_west_street_#18c,1695000,battery_park_city,manhattan,current,,2,2,1150,condo,http://streeteasy.com/sale/1231266,2500.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit bike_room children's_playroom concierge gym green_building live_in_super parking_available community_recreation_facilities storage_available dishwasher,1_at_rector_st_0.24_miles R_at_rector_st_0.25_miles 45_at_bowling_green_0.26_miles 45_at_wall_st_0.3_miles JZ_at_broad_st_0.34_miles,40.7067 -74.0176,2,millennium_tower_residences_30_west_street,2006,233,http://streeteasy.com/building/millennium-tower-residences
1247757,169_lexington_avenue_#1,1099000,bedford_stuyvesant,brooklyn,current,,2,1.5,1412,condo,http://streeteasy.com/sale/1247757,1273.0,pets_allowed washer_dryer_in_unit storage_available dishwasher deck garden roof_deck,G_at_classon_av_0.26_miles G_at_bedford_nostrand_avs_0.28_miles CS_at_franklin_av_0.44_miles AC_at_nostrand_av_0.58_miles G_at_clinton_washington_avs_0.63_miles,40.6874 -73.9557,13,169_lexington_avenue,1905,2,http://streeteasy.com/building/169-lexington-avenue-brooklyn
